  1 loss:2.33, accuracy:0.07
  4.31 loss:0.271, accuracy:0.91
  4.32 loss:0.194, accuracy:0.93
  4.33 loss:0.263, accuracy:0.93
  4.34 loss:0.236, accuracy:0.9
  4.35 loss:0.347, accuracy:0.92
  4.36 loss:0.295, accuracy:0.9
  4.37 loss:0.216, accuracy:0.95
  4.38 loss:0.22, accuracy:0.95
  4.39 loss:0.252, accuracy:0.95
  4.40 loss:0.353, accuracy:0.9
  5. 1 loss:0.156, accuracy:0.96
  5. 2 loss:0.277, accuracy:0.93
  5. 3 loss:0.171, accuracy:0.95
  5. 4 loss:0.262, accuracy:0.93
  5. 5 loss:0.297, accuracy:0.93
  5. 6 loss:0.126, accuracy:0.98
  5. 7 loss:0.325, accuracy:0.9
  5. 8 loss:0.146, accuracy:0.97
  5. 9 loss:0.173, accuracy:0.95
  5.10 loss:0.295, accuracy:0.89
  5.11 loss:0.279, accuracy:0.89
  5.12 loss:0.325, accuracy:0.93
  5.13 loss:0.309, accuracy:0.9
  5.14 loss:0.32, accuracy:0.91
  5.15 loss:0.128, accuracy:0.96
  5.16 loss:0.194, accuracy:0.96
  5.17 loss:0.188, accuracy:0.94
  5.18 loss:0.329, accuracy:0.92
  5.19 loss:0.341, accuracy:0.89
  5.20 loss:0.223, accuracy:0.94
  5.21 loss:0.215, accuracy:0.95
  5.22 loss:0.228, accuracy:0.93
  5.23 loss:0.256, accuracy:0.94
  5.24 loss:0.193, accuracy:0.93
  5.25 loss:0.14, accuracy:0.97
  5.26 loss:0.15, accuracy:0.97
  5.27 loss:0.318, accuracy:0.91
  5.28 loss:0.225, accuracy:0.95
  5.29 loss:0.223, accuracy:0.95
  5.30 loss:0.142, accuracy:0.97
  5.31 loss:0.209, accuracy:0.93
  5.32 loss:0.164, accuracy:0.95
  5.33 loss:0.251, accuracy:0.95
  5.34 loss:0.207, accuracy:0.95
  5.35 loss:0.285, accuracy:0.92
  5.36 loss:0.235, accuracy:0.93
  5.37 loss:0.183, accuracy:0.96
  5.38 loss:0.207, accuracy:0.94
  5.39 loss:0.234, accuracy:0.94
  5.40 loss:0.294, accuracy:0.91
  6. 1 loss:0.124, accuracy:0.97
  6. 2 loss:0.242, accuracy:0.92
  6. 3 loss:0.139, accuracy:0.97
  6. 4 loss:0.188, accuracy:0.95
  6. 5 loss:0.282, accuracy:0.92
  6. 6 loss:0.126, accuracy:0.98
  6. 7 loss:0.28, accuracy:0.91
  6. 8 loss:0.104, accuracy:0.97
  6. 9 loss:0.138, accuracy:0.94
  6.10 loss:0.219, accuracy:0.94
  6.11 loss:0.218, accuracy:0.89
  6.12 loss:0.264, accuracy:0.95
  6.13 loss:0.241, accuracy:0.9
  6.14 loss:0.279, accuracy:0.93
  6.15 loss:0.0799, accuracy:0.99
  6.16 loss:0.153, accuracy:0.98
  6.17 loss:0.139, accuracy:0.94
  6.18 loss:0.29, accuracy:0.94
  6.19 loss:0.302, accuracy:0.89
  6.20 loss:0.194, accuracy:0.95
  6.21 loss:0.194, accuracy:0.94
  6.22 loss:0.194, accuracy:0.93
  6.23 loss:0.223, accuracy:0.95
  6.24 loss:0.154, accuracy:0.95
  6.25 loss:0.117, accuracy:0.98
  6.26 loss:0.122, accuracy:0.98
  6.27 loss:0.311, accuracy:0.91
  6.28 loss:0.197, accuracy:0.96
  6.29 loss:0.189, accuracy:0.96
  6.30 loss:0.11, accuracy:0.97
  6.31 loss:0.178, accuracy:0.94
  6.32 loss:0.126, accuracy:0.99
  6.33 loss:0.204, accuracy:0.95
  6.34 loss:0.184, accuracy:0.95
  6.35 loss:0.246, accuracy:0.93
  6.36 loss:0.203, accuracy:0.93
  6.37 loss:0.157, accuracy:0.96
  6.38 loss:0.19, accuracy:0.96
  6.39 loss:0.209, accuracy:0.94
  6.40 loss:0.244, accuracy:0.93
  7. 1 loss:0.0942, accuracy:0.97
  7. 2 loss:0.185, accuracy:0.95
  7. 3 loss:0.115, accuracy:0.97
  7. 4 loss:0.151, accuracy:0.97
  7. 5 loss:0.244, accuracy:0.94
  7. 6 loss:0.118, accuracy:0.98
  7. 7 loss:0.259, accuracy:0.91
  7. 8 loss:0.0901, accuracy:0.98
  7. 9 loss:0.11, accuracy:0.96
  7.10 loss:0.173, accuracy:0.94
  7.11 loss:0.185, accuracy:0.91
  7.12 loss:0.218, accuracy:0.94
  7.13 loss:0.203, accuracy:0.91
  7.14 loss:0.243, accuracy:0.94
  7.15 loss:0.0716, accuracy:0.98
  7.16 loss:0.131, accuracy:0.97
  7.17 loss:0.119, accuracy:0.95
  7.18 loss:0.267, accuracy:0.93
  7.19 loss:0.252, accuracy:0.91
